PRECINCT,Date,Race,totvote,DEM_Turnout,REP_Turnout,NPA_Turnout,Other_party_Turnout,White_Turnout,Black_Turnout,Hispanic_Turnout,Other_race_Turnout,Male_Turnout,Female_Turnout,Unkwn_Turnout,pct_white,pct_black,pct_non_bw,DEM_candidate_votes,REP_candidate_votes,OTHER_candidate_votes,Total_contest_votes,pct_dem,pct_rep,D-R_vote_pct,D-R_vote,District
403,11/4/2014,Governor,2250,915,970,304,61,1548,430,97,175,994,1222,34,0.688,0.191111111,0.120888889,908,1201,117,2226,0.407906559,0.539532794,-0.131626235,-293,4
404,11/4/2014,Governor,1714,497,1009,153,55,1568,65,20,61,808,885,21,0.914819137,0.037922987,0.047257876,373,1227,90,1690,0.220710059,0.726035503,-0.505325444,-854,4
405,11/4/2014,Governor,819,397,289,101,32,516,240,25,38,343,458,18,0.63003663,0.293040293,0.076923077,384,382,47,813,0.472324723,0.469864699,0.002460025,2,4
407,11/4/2014,Governor,2488,756,1314,334,84,1921,304,64,199,1171,1268,49,0.772106109,0.122186495,0.105707395,815,1523,124,2462,0.331031682,0.618602762,-0.28757108,-708,4
408,11/4/2014,Governor,1954,633,1023,242,56,1637,190,51,76,870,1062,22,0.83776868,0.097236438,0.064994882,533,1295,114,1942,0.27445932,0.666838311,-0.392378991,-762,4
409,11/4/2014,Governor,1303,533,573,160,37,955,243,41,64,571,713,19,0.732924021,0.186492709,0.080583269,477,736,79,1292,0.369195046,0.569659443,-0.200464396,-259,4
410,11/4/2014,Governor,1700,614,733,297,56,1137,326,79,158,828,851,21,0.668823529,0.191764706,0.139411765,578,1004,104,1686,0.34282325,0.595492289,-0.252669039,-426,4
411,11/4/2014,Governor,1668,565,746,275,82,1242,227,80,119,799,831,38,0.744604317,0.136091127,0.119304556,540,985,125,1650,0.327272727,0.596969697,-0.26969697,-445,4
412,11/4/2014,Governor,823,265,345,161,52,597,124,37,65,377,414,32,0.725394897,0.150668287,0.123936817,346,431,41,818,0.422982885,0.526894866,-0.10391198,-85,4
501,11/4/2014,Governor,1656,522,828,241,65,1467,76,25,88,804,822,30,0.885869565,0.04589372,0.068236715,633,924,74,1631,0.388105457,0.566523605,-0.178418148,-291,5
